A100A,48.453,8.926,508
A101B,48.118,8.55,741
A102A,48.14,9.199,684
A106B,48.753,9.722,468
A109A,48.444,9.459,665
A117A,49.044,9.568,494
A123A,48.612,7.891,138
A124A,48.646,8.494,795
A128A,49.399,8.596,102
ABH,49.882,7.548,618
AHRW,50.541,7.076,180
BABA,48.719,8.192,216
BALST,47.336,7.695,0
BERGE,47.872,8.178,963
BEUR,50.08,7.078,386
BFO,48.33,8.33,589
BGG,50.206,7.337,140
BHB,48.247,9.004,933
BHE,50.353,7.18,290
BIW,50.731,7.837,310
BLI,50.232,6.288,468
BODE,49.911,8.297,-98
BRET,49.013,8.689,270
BRG,50.873,13.943,296
BUCH,48.45,9.353,785
BUG,51.441,7.269,85
CLL,51.308,13.003,230
DAVA,47.287,9.88,1602
DEGG,48.608,9.713,752
DM05,49.138,8.126,136
DM11,49.149,8.203,145
DM27,49.156,8.148,138
DRE,50.663,6.233,390
DREG,50.663,6.233,390
DUP,49.411,6.786,273
ECH,48.216,7.159,580
EMING,47.895,8.847,619
END,47.715,7.738,635
ENDD,47.715,7.738,635
ERNH,49.78,8.73,0
FACH,50.356,7.994,110
FELD,47.876,8.004,1465
FLIN,49.306,9.007,234
FREU,48.236,9.137,645
FSH,50.076,7.109,350
FUR,48.163,11.275,570
GALG,48.786,8.781,528
GEC2,48.845,13.702,1137
GRA1,49.692,11.222,500
GRFO,49.691,11.22,384
GUNZ,50.364,12.332,669
GUT,48.071,9.115,647
GWBC,50.393,8.269,197
GWBD,50.114,7.902,428
GWBE,50.106,8.18,272
HDH,48.584,10.207,501
HIL,50.292,6.679,500
HOHE,48.659,7.484,336
HROE,50.537,10.157,569
IMS,49.594,7.901,350
INS1,49.148,8.046,197
INS2,49.12,8.134,136
INS3,49.097,8.082,141
INS4,49.195,8.111,147
INS4B,49.193,8.111,145
INS5,49.129,8.203,126
INS6,49.087,8.193,131
INS6B,49.085,8.194,130
INS7,49.16,8.212,158
INS8,49.263,8.125,162
INSH,49.147,8.166,129
KARL,49.018,8.4,121
KAST,51.203,8.416,618
KIZ,47.956,7.918,445
KOE,50.425,7.732,540
KTD,49.32,8.084,670
LAGB,50.361,7.101,372
LANF,48.981,7.805,500
LBG,48.664,8.795,594
LDAU,49.182,8.127,153
LDE,49.176,8.141,10
LDO,49.208,8.173,28
LIBD,48.151,7.603,210
LIENZ,47.296,9.494,1560
MANZ,49.986,12.108,638
MEM,50.609,6.01,250
MESS,49.9,8.77,0
METMA,47.712,8.253,671
MILB,49.828,9.292,369
MOER,49.172,8.088,114
MOF,47.852,7.133,1085
MOX,50.645,11.616,455
MSS,48.178,8.962,948
NEEW,48.956,8.104,168
NORI,48.72,10.625,480
OBER,47.407,10.293,872
OCHT,50.339,7.357,140
OPP,48.497,8.187,415
PEB,49.067,7.717,325
PLN,50.485,12.157,432
PLONS,47.049,9.381,0
RAST,52.91,7.716,37
RIVT,49.708,6.765,269
ROTE,48.153,8.671,704
ROTT,49.129,8.149,-177
ROTZ,49.767,12.207,430
RUP,49.702,7.059,750
SIND,49.349,9.606,330
SISB,47.686,8.964,490
SLE,47.766,8.493,590
SOS2,49.19,8.075,212.83
SOS3,49.214,8.098,184.26
SOS5,49.19,8.172,133.09
SOS6,49.153,8.145,144.38
SOS7,49.135,8.177,125.4
SOS8,49.16,8.178,148.32
SOS9,49.131,8.132,132
SPAK,48.102,8.786,990
STB,50.594,6.84,270
STR,48.585,7.757,135
STS1,49.172,8.088,108.59
STS4,49.222,8.148,60.69
STU,48.771,9.194,360
SULZ,47.529,8.113,670
SWS,49.484,8.701,223
TANN,50.415,12.462,836
THEF,48.228,5.994,469
TMO07,49.02,8.367,123
TMO20,49.184,8.055,212
TMO22,49.219,8.185,132
TMO50,49.182,8.127,153
TMO51,49.154,8.185,130
TMO52,49.129,8.149,128
TMO53,49.166,8.12,166
TMO54,49.14,8.129,142
TMO55,49.228,8.11,199
TMO57,49.173,8.277,126
TMO58,49.187,8.192,132
TMO59,49.139,8.219,0
TMO61,49.19,8.128,0
TMO64,49.172,8.088,0
TMO65,49.197,7.978,482
TMO66,49.218,8.046,275
TNS,50.222,8.447,815
TOD,49.606,8.804,568
TUBL,48.523,9.083,215
UBBA,50.819,10.001,-526.41
UBR,47.681,10.108,890
URBA,48.838,9.586,455
VOEL,48.967,7.123,273
VOGT,48.081,7.67,553
WALHA,47.753,9.123,419
WBA,49.653,8.817,479
WBB,49.842,8.662,241
WBG,50.17,9.345,316
WERD,50.448,12.306,589
WERN,50.287,12.376,672
WET,49.144,12.878,613
WILA,47.415,8.908,910
WLF,49.665,6.153,295
WLS,48.413,7.354,775
WOER,49.016,10.264,482
